group,old_concession,new_concession,old_inj_E,old_inj_N,old_ext_E,old_ext_N,new_inj_E,new_inj_N,new_ext_E,new_ext_N,inj_move_m,ext_move_m,old_Q,new_Q,recirc_old,recirc_stale,source_offset_easting,source_offset_northing,source_offset_unchanged,old_source_abs_E,old_source_abs_N,new_source_abs_E,new_source_abs_N,source_abs_move_m,upgradient_unverified
0,b010205,b010210,2681745.9,1248144.8,2681799.9,1248143.8,2681704.9,1247555.9,2681885.9,1247397.9,590.326,750.841,1370,4320,0.221,True,51,-77,True,2681850.9,1248066.8,2681936.9,1247320.9,750.841,True
1,b010196,b010219,2681366.9,1248328.8,2681365.9,1248266.8,2679765.3,1249207.9,2679684.5,1249120.4,1827.003,1885.667,1370,4320,0.272,True,-60,-169,True,2681305.9,1248097.8,2679624.5,1248951.4,1885.667,True
2,b010185,b010201,2681487.9,1249310.9,2681515.9,1249254.9,2679926.5,1248996.9,2680130.5,1248879.9,1592.66,1435.255,1370,4320,0.384,True,50,-102,True,2681565.9,1249152.9,2680180.5,1248777.9,1435.255,True
3,b010211,b010236,2682350.9,1248309.8,2682394.3,1248252.2,2680756,1249057,2680862,1249015,1761.253,1711.668,1370,4320,0.213,True,100,-83,True,2682494.3,1248169.2,2680962,1248932,1711.668,True
4,b010223,b010120,2681890,1248203.9,2681894,1248169.9,2682590,1248496.9,2682706,1248549.9,758.847,896.518,1370,4320,0.376,True,53,-76,True,2681947,1248093.9,2682759,1248473.9,896.518,True
5,b010200,b010223,2681455.9,1249228.9,2681519.9,1249158.9,2681890,1248203.9,2681894,1248169.9,1113.134,1057.389,1370,4320,0.142,True,32,-66,True,2681551.9,1249092.9,2681926,1248103.9,1057.389,True
6,b010224,b010227,2682617,1248326.3,2682709.4,1248294.2,2681757,1247774,2681881,1247765,1022.074,983.005,5760,4320,0.596,True,56,-244,True,2682765.4,1248050.2,2681937,1247521,983.005,True
7,b010230,b010213,2682381,1248447,2682480,1248406,2682090,1248102.9,2682138,1248114.9,450.65,449.114,1370,4320,0.093,True,75,-114,True,2682555,1248292,2682213,1248000.9,449.114,True
8,b010199,b010207,2680796.9,1248534.9,2681005.5,1248318.8,2682181.4,1247730.9,2682105.4,1247611.4,1601.017,1307.744,5760,4320,0.46,True,-53,-82,True,2680952.5,1248236.8,2682052.4,1247529.4,1307.744,True
